Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo T3 5G (Cosmic Blue, 128 GB)",18499.0,19.0,5000 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,107344.0,6877.0,50MP + 2MP | 16MP Front Camera,22999.0,Dimensity 7200 Processor,8.0,128.0,vivo,Android
"vivo Y28s 5G (Vintage Red, 128 GB)",12999.0,27.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,239.0,10.0,50MP + 0.08MP | 8MP Front Camera,17999.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo V30e (Velvet Red, 128 GB)",24790.0,24.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,5596.0,390.0,50MP + 8MP | 50MP Front Camera,32999.0,6 Gen 1 Processor,8.0,128.0,vivo,Android
"vivo X200 5G (Cosmos Black, 256 GB)",65999.0,12.0,5800 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,527.0,112.0,50MP + 50MP + 50MP | 32MP Front Camera,74999.0,Dimensity 9400 Processor,12.0,256.0,vivo,Android
"vivo Y300 5G (Titanium Silver, 128 GB)",21999.0,18.0,5000 mAh Battery,16.94 cm (6.67 inch) Display,1401.0,86.0,50MP + 2MP | 32MP Front Camera,26999.0,4 Gen 2 Processor,8.0,128.0,vivo,Android
"vivo V40e 5G (Royal Bronze, 128 GB)",26999.0,20.0,5500 mAh Battery,17.2 cm (6.77 inch) Display,6121.0,454.0,50MP + 8MP | 50MP Front Camera,33999.0,Dimensity 7300 Processor,8.0,128.0,vivo,Android
"vivo Y18i (Space Black, 64 GB)",7999.0,33.0,5000 mAh Battery,16.66 cm (6.56 Inch) Display,1993.0,57.0,13MP + 0.08MP | 5MP Front Camera,11999.0,UNISCO T616 Processor,4.0,64.0,vivo,Android
"vivo T3 Pro 5G (Sandstone Orange, 128 GB)",22999.0,23.0,5500 mAh Battery,17.2 cm (6.77 inch) Full HD+ AMOLED Display,48590.0,3354.0,50MP + 8MP | 16MP Front Camera,29999.0,Snapdragon 7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo T3 Ultra (Frost Green, 256 GB)",31999.0,15.0,5500 mAh Battery,17.22 cm (6.78 inch) Display,12260.0,1092.0,50MP + 8MP | 50MP Front Camera,37999.0,Dimensity 9200+ Processor,8.0,256.0,vivo,Android
"vivo T3 5G (Cosmic Blue, 256 GB)",20499.0,18.0,5000 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,107344.0,6877.0,50MP + 2MP | 16MP Front Camera,24999.0,Dimensity 7200 Processor,8.0,256.0,vivo,Android
"vivo V40e 5G (Royal Bronze, 256 GB)",28999.0,19.0,5500 mAh Battery,17.2 cm (6.77 inch) Display,6121.0,454.0,50MP + 8MP | 50MP Front Camera,35999.0,Dimensity 7300 Processor,8.0,256.0,vivo,Android
"vivo Y18t (Space Black, 128 GB)",9499.0,32.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,112.0,5.0,50MP + 0.08MP | 8MP Front Camera,13999.0,T612 Processor,4.0,128.0,vivo,Android
"vivo T3 Ultra (Lunar Gray, 256 GB)",33999.0,15.0,5500 mAh Battery,17.22 cm (6.78 inch) Display,5996.0,508.0,50MP + 8MP | 50MP Front Camera,39999.0,Dimensity 9200+ Processor,12.0,256.0,vivo,Android
